branch,period_start,period_end,num_items,price_mean,price_min,price_max
BRUMADO,03.11,06.11,39,28.24,0.78,298.90
BRUMADO,06.10,12.10,41,84.03,0.00,759.00
BRUMADO,13.10,19.10,39,34.22,0.00,980.00
BRUMADO,29.09,05.10,38,38.54,0.00,890.00
CAMPINA GRANDE,01.12,07.12,36,235.51,0.88,7589.00
CAMPINA GRANDE,03.11,09.11,40,26.33,0.00,298.00
CAMPINA GRANDE,06.10,12.10,39,56.46,0.00,1555.00
CAMPINA GRANDE,10.11,16.11,31,27.17,0.20,278.00
CAMPINA GRANDE,17.11,23.11,35,21.01,0.83,88.90
CAMPINA GRANDE,24.11,30.11,34,34.31,0.80,348.20
JOÃO PESSOA,01.12,07.12,36,235.51,0.88,7589.00
JOÃO PESSOA,03.11,09.11,40,26.33,0.00,298.00
JOÃO PESSOA,06.10,12.10,39,29.65,0.78,498.90
JOÃO PESSOA,10.11,16.11,31,27.19,0.80,278.00
JOÃO PESSOA,17.11,23.11,35,20.99,0.83,88.90
JOÃO PESSOA,24.11,30.11,34,34.31,0.80,348.20
JUAZEIRO DO NORTE,01.12,07.12,34,22.43,0.80,278.00
JUAZEIRO DO NORTE,03.11,09.11,40,21.48,0.80,298.00
JUAZEIRO DO NORTE,06.10,12.10,36,10.86,0.00,31.00
JUAZEIRO DO NORTE,10.11,16.11,34,44.64,0.20,758.00
JUAZEIRO DO NORTE,17.11,23.11,36,15.26,1.80,68.00
JUAZEIRO DO NORTE,24.11,30.11,35,24.03,0.80,278.90
VITÓRIA DA CONQUISTA,03.11,06.11,39,28.34,0.78,298.90
VITÓRIA DA CONQUISTA,06.10,12.10,39,21.17,0.00,179.89
VITÓRIA DA CONQUISTA,13.10,19.10,40,14.43,0.00,198.00
VITÓRIA DA CONQUISTA,29.09,05.10,39,16.08,0.00,138.00
