product_ocr,price_raw
Chã de Dentro Bovino Resfriado Peça/ Pedaço kg,"39,50"
Filé de Peito de Frango Congelado kg,"16,80"
Carne Moída Bovina Congelada Fortboi 500g,"78,00"
Acém/Pá/Peito Bovino Congelado c/ Osso kg,"24,50"
Costela Suína em Tiras Congelada kg,"11,30"
Linguiça Mista em Gomos p/ Churrasco Friato kg,"15,00"
Costela Bovina Congelada kg,"15,80"
Músculo Bovino Resfriado Peça/ Pedaço kg,"27,50"
Feijão Carioca Precioso 1kg,
Arroz Parboilizado Rampinelli 1kg,"3,80"
Cupim Bovino Congelado kg,"29,50"
Peito de Frango Congelado kg,"13,00"
Carré Suíno Congelado kg,"16,90"
Queijo Muçarela Peça/Pedaço kg,"28,00"
Asa de Frango Congelada kg,"12,00"
Farinha de Trigo Tipo 1 Rosa Branca 1kg,"3,00"
Leite em Pó Integral Italac Sachê 200g,"6,00"
Ração p/ Cães Adultos Tutticanis 14kg,"68,00"
Café Almofada Tradicional São Braz 2509,"13,90"
Leite Condensado Italac Tp 3959,"4,80"
Pão de Forma Tradicional Limiar 400g,"3,80"
Sardinha Palmeira 1259,"4,28"
Jerked Beef Ponta de Agulha kg,"32,80"
Massa Espaguete Comum Vitaflor 400g,"1,80"
Farinha de Trigo Especial Rosa Branca 25kg,"88,90"
Água Mineral s/ Gás Sterbom 510m!,"0,88"
Mistura p/ Pão Francês Maxi 25kg,"88,00"
Leite Longa Vida Natville 1 litro,"4,28"
Salsicha p/ Hot Dog Bom Todo kg,"6,80"
Açúcar Triturado Alegre 1kg,"2,80"
Flocão de Milho Fortemilho 4009,"0,83"
Fígado Bovino Congelado kg,"10,30"
Margarina Deline Balde 3kg,"26,90"
Bacon Manta Perdigão kg,"27,00"
Creme de Leite Italac Tp 2009,"2,58"
4] - . = uai a e PÓ ç,"6,00"
